condition,model,test_on,accuracy,precision,recall,f1_macro,f1_noise,f1_speech,latency_ms,n_params,size_kb
C1_Clean_NoAlawNorm,CNN1D,exp3_alaw_musan,0.9797,0.9799,0.9797,0.9797,0.9795,0.9799,0.758,124386,500.4
C1_Clean_NoAlawNorm,WaveNetSmall,exp3_alaw_musan,0.9942,0.9942,0.9942,0.9942,0.9942,0.9942,1.556,175234,720.2
C1_Clean_NoAlawNorm,ECAPAVAD,exp3_alaw_musan,0.997,0.997,0.997,0.997,0.997,0.997,3.665,242130,1007.0
C1_Clean_NoAlawNorm,TransformerVAD,exp3_alaw_musan,0.978,0.9784,0.978,0.978,0.9778,0.9783,0.891,71458,294.3
C2_Clean_AlawNorm,CNN1D,exp3_alaw_musan,0.9718,0.9722,0.9718,0.9718,0.9714,0.9722,0.998,124389,501.2
C2_Clean_AlawNorm,WaveNetSmall,exp3_alaw_musan,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,1.745,175237,721.7
C2_Clean_AlawNorm,ECAPAVAD,exp3_alaw_musan,0.9963,0.9964,0.9963,0.9963,0.9963,0.9964,3.839,242133,1007.7
C2_Clean_AlawNorm,TransformerVAD,exp3_alaw_musan,0.9767,0.9771,0.9767,0.9766,0.9763,0.977,1.306,71461,295.4
C3_Alaw_NoAlawNorm,CNN1D,exp3_alaw_musan,0.9854,0.9856,0.9854,0.9854,0.9852,0.9855,0.805,124386,500.4
C3_Alaw_NoAlawNorm,WaveNetSmall,exp3_alaw_musan,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,1.484,175234,720.7
C3_Alaw_NoAlawNorm,ECAPAVAD,exp3_alaw_musan,0.9965,0.9965,0.9965,0.9965,0.9965,0.9965,3.599,242130,1006.8
C3_Alaw_NoAlawNorm,TransformerVAD,exp3_alaw_musan,0.9857,0.9857,0.9857,0.9857,0.9856,0.9857,0.883,71458,294.5
C4_Alaw_AlawNorm,CNN1D,exp3_alaw_musan,0.9755,0.9764,0.9755,0.9755,0.975,0.9761,1.012,124389,501.3
C4_Alaw_AlawNorm,WaveNetSmall,exp3_alaw_musan,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,1.714,175237,721.5
C4_Alaw_AlawNorm,ECAPAVAD,exp3_alaw_musan,0.9965,0.9965,0.9965,0.9965,0.9965,0.9965,3.988,242133,1007.7
C4_Alaw_AlawNorm,TransformerVAD,exp3_alaw_musan,0.9756,0.9759,0.9756,0.9756,0.9753,0.9759,1.09,71461,295.4
Silero_Baseline,SileroVAD,exp2_clean_musan,0.499,0.4976,0.499,0.4114,0.6385,0.1843,0.0,1000000,1800.0
Silero_Baseline,SileroVAD,exp3_alaw_musan,0.5002,0.4976,0.499,0.4114,0.6385,0.1843,0.0,1000000,1800.0
